Date,Open,High,Low,Close,Adj Close,Volume
28/9/2005,659.169983,660.02002,652.23999,656.039978,656.039978,21069800
29/9/2005,656.039978,665.030029,653.23999,665.030029,665.030029,21761200
30/9/2005,665.030029,667.799988,663.02002,667.799988,667.799988,20975200
3/10/2005,667.799988,673.23999,667.75,670.549988,670.549988,20974900
4/10/2005,670.549988,674.169983,663.830017,663.840027,663.840027,23414200
5/10/2005,663.840027,663.840027,644.97998,644.97998,644.97998,25467800
6/10/2005,644.97998,648.539978,633.380005,639.450012,639.450012,27920300
7/10/2005,639.450012,645.640015,639.450012,644.330017,644.330017,21260800
10/10/2005,644.330017,645.609985,637.320007,637.969971,637.969971,21959900
11/10/2005,637.969971,642.090027,630.080017,630.080017,630.080017,22990400
12/10/2005,630.080017,631.130005,618.679993,621.570007,621.570007,24912800
13/10/2005,621.570007,624.099976,614.76001,623.280029,623.280029,23511500
14/10/2005,623.280029,633.150024,621.159973,633.150024,633.150024,21889400
17/10/2005,633.150024,635.859985,626.73999,633.369995,633.369995,20545700
18/10/2005,633.369995,633.369995,625.190002,625.359985,625.359985,21970100
19/10/2005,625.359985,638.280029,618.059998,638.280029,638.280029,27035900
20/10/2005,638.280029,638.73999,623.140015,627.539978,627.539978,26172500
21/10/2005,627.539978,636.26001,627.23999,632.72998,632.72998,24709200
24/10/2005,632.72998,646.599976,632.72998,646.599976,646.599976,21977900
25/10/2005,646.599976,646.599976,636.820007,642.72998,642.72998,23124700
26/10/2005,642.72998,648.01001,637.369995,638.409973,638.409973,24677500
27/10/2005,638.409973,638.409973,623.539978,624.030029,624.030029,23953700
28/10/2005,624.030029,635.559998,624.030029,635.330017,635.330017,23794000
31/10/2005,635.330017,648.26001,635.330017,646.609985,646.609985,25674700
1/11/2005,646.609985,646.609985,640.179993,643.02002,643.02002,24578500
2/11/2005,643.02002,657.049988,642.880005,657.049988,657.049988,26480900
3/11/2005,657.049988,663.900024,656.559998,658.77002,658.77002,27166300
4/11/2005,658.77002,660.130005,653.289978,658.159973,658.159973,20505100
7/11/2005,658.159973,663.070007,656.309998,661.23999,661.23999,19875800
8/11/2005,661.23999,661.23999,654.669983,656.22998,656.22998,19650500
9/11/2005,656.22998,663.75,654.97998,659.830017,659.830017,22144600
10/11/2005,659.809998,665.140015,651.5,664.929993,664.929993,23784600
11/11/2005,664.929993,667.820007,663.429993,666.659973,666.659973,17731400
14/11/2005,666.659973,667.98999,661.549988,663.929993,663.929993,18997800
15/11/2005,663.929993,664.76001,655.280029,656.22998,656.22998,23593700
16/11/2005,656.22998,657.940002,649.919983,654.640015,654.640015,21215800
17/11/2005,654.640015,667.140015,654.640015,667.140015,667.140015,22980400
18/11/2005,667.140015,672.97998,667.140015,672.219971,672.219971,24532900
21/11/2005,672.219971,679.320007,669.059998,678.960022,678.960022,21173500
22/11/2005,678.960022,683.72998,676.640015,682.549988,682.549988,22914200
23/11/2005,682.549988,686.219971,681.47998,683.140015,683.140015,19854000
25/11/2005,683.140015,684.109985,681.570007,683.580017,683.580017,7249400
28/11/2005,683.580017,683.580017,671.5,671.5,671.5,20169000
29/11/2005,671.5,678.059998,671.5,673.690002,673.690002,22683400
30/11/2005,673.690002,680.179993,673.690002,677.289978,677.289978,23746900
1/12/2005,677.289978,690.909973,677.289978,690.210022,690.210022,26148300
2/12/2005,690.210022,690.640015,684.950012,690.570007,690.570007,21255800
5/12/2005,690.570007,690.570007,682.890015,686.570007,686.570007,23258400
6/12/2005,686.570007,693.099976,686.570007,687.580017,687.580017,21107400
7/12/2005,687.570007,688.210022,681.090027,683.01001,683.01001,20938300
8/12/2005,683.01001,690.22998,680.549988,685.219971,685.219971,21783000
9/12/2005,685.219971,689.890015,682.919983,688.77002,688.77002,18962900
12/12/2005,688.77002,691.840027,686.409973,689.539978,689.539978,18765500
13/12/2005,689.51001,692.25,686.580017,689.030029,689.030029,23900200
14/12/2005,689.030029,693.630005,687.650024,690.5,690.5,21455200
15/12/2005,690.5,691.099976,681.190002,684.73999,684.73999,21805900
16/12/2005,684.73999,687.119995,682.130005,683.090027,683.090027,25841900
19/12/2005,683.090027,683.23999,671.650024,672.25,672.25,22088100
20/12/2005,672.25,676.859985,669.039978,672.780029,672.780029,19966900
21/12/2005,672.780029,681.950012,672.780029,679.73999,679.73999,20651700
22/12/2005,679.73999,684.169983,679.549988,684.080017,684.080017,18885000
23/12/2005,684.080017,686.950012,684.080017,686.440002,686.440002,12858100
27/12/2005,686.440002,688.400024,676.570007,676.580017,676.580017,15404700
28/12/2005,676.580017,681.179993,675.140015,680.080017,680.080017,14223600
29/12/2005,680.080017,681.950012,677.820007,677.960022,677.960022,13825400
30/12/2005,677.960022,677.960022,670.849976,673.219971,673.219971,14435000
3/1/2006,673.219971,685.22998,666.580017,684.049988,684.049988,25545700
4/1/2006,684.049988,690.159973,683.419983,689.25,689.25,25153300
5/1/2006,689.25,692.409973,687.659973,691.77002,691.77002,24333400
6/1/2006,691.77002,700.440002,691.77002,699.390015,699.390015,24465600
9/1/2006,699.390015,708.039978,699.390015,706.23999,706.23999,23014900
10/1/2006,706.23999,711,702.210022,710.98999,710.98999,23730800
11/1/2006,710.98999,711.190002,705.570007,711.190002,711.190002,24061300
12/1/2006,711.190002,711.679993,706.039978,706.789978,706.789978,23183500
13/1/2006,706.789978,708.98999,705.599976,708.440002,708.440002,22065100
17/1/2006,708.440002,708.440002,700.659973,703.619995,703.619995,21799700
18/1/2006,703.619995,704.52002,698.580017,703.780029,703.780029,22332000
19/1/2006,703.780029,715.789978,703.780029,714.940002,714.940002,24440200
20/1/2006,714.940002,716.530029,703.570007,704.599976,704.599976,28458100
23/1/2006,704.599976,709.679993,704.530029,707.820007,707.820007,22560700
24/1/2006,707.820007,718.51001,707.820007,718.02002,718.02002,26087200
25/1/2006,718.02002,720.299988,713.130005,716.450012,716.450012,26170600
26/1/2006,716.450012,728.570007,716.450012,728.47998,728.47998,28567800
27/1/2006,728.47998,736.25,728.150024,732.219971,732.219971,26236200
30/1/2006,732.219971,734.01001,729.969971,730.869995,730.869995,22827300
31/1/2006,730.869995,734.01001,726.710022,733.200012,733.200012,27083100
1/2/2006,733.200012,736.450012,729.890015,735.47998,735.47998,25894100
2/2/2006,735.47998,735.530029,721.950012,726.25,726.25,25653000
3/2/2006,726.25,729.200012,720.309998,724.219971,724.219971,22822100
6/2/2006,724.219971,727.890015,720.429993,727.890015,727.890015,21323600
7/2/2006,727.890015,729.77002,716.820007,717.179993,717.179993,23663700
8/2/2006,717.179993,722.299988,713.880005,721.159973,721.159973,24568600
9/2/2006,721.159973,727.48999,717.609985,718.159973,718.159973,24419200
10/2/2006,718.159973,718.419983,708.830017,717.130005,717.130005,22900500
13/2/2006,717.130005,717.130005,708.51001,710.530029,710.530029,18500800
14/2/2006,710.530029,721.619995,708.119995,719.700012,719.700012,24379400
15/2/2006,719.700012,725.099976,716.659973,725.099976,725.099976,23175900
16/2/2006,725.099976,731.919983,725.099976,731.919983,731.919983,22514900
17/2/2006,731.919983,733.26001,727.969971,730.940002,730.940002,21282600
21/2/2006,730.940002,733.330017,723.710022,726.780029,726.780029,21043200
